#,,,,,"generated_by='OpenQuake engine 3.21.0', start_date='2025-07-24T11:00:29', checksum=780008276, investigation_time=50.0, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-82.08239683699213, -81.68269718843744, -81.28299753988277, -80.88329789132808, -80.48359824277341, -80.08389859421872, -79.68419894566405, -79.28449929710936, -78.88479964855468, -78.4851, -78.08540035144532, -77.68570070289064, -77.28600105433596, -76.88630140578128, -76.4866017572266, -76.08690210867192, -75.68720246011723, -75.28750281156256, -74.88780316300787], lat_bin_edges=[-3.77258, -3.372882222222222, -2.973184444444444, -2.5734866666666663, -2.1737888888888883, -1.7740911111111104, -1.3743933333333325, -0.9746955555555545, -0.5749977777777766, -0.17529999999999868, 0.22439777777777925, 0.6240955555555572, 1.023793333333335, 1.423491111111113, 1.823188888888891, 2.222886666666669, 2.622584444444447, 3.0222822222222248, 3.4219800000000027], eps_bin_edges=[-6.0, -4.0, -2.0, 0.0, 2.0, 4.0, 6.0], tectonic_region_types=['Active Shallow Crust', 'Subduction Interface', 'Subduction IntraSlab'], lon=-78.4851, lat=-0.1753"
imt,iml,poe,trt,mag,mean
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,4.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,5.25000E+00,4.24381E-10
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,5.75000E+00,5.47549E-06
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,6.25000E+00,2.54710E-03
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,6.75000E+00,6.27219E-03
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,7.25000E+00,1.10349E-02
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,7.75000E+00,1.09905E-04
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,8.25000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Active Shallow Crust,8.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,4.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,5.25000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,5.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,6.25000E+00,6.05904E-12
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,6.75000E+00,3.79658E-09
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,7.25000E+00,1.83040E-06
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,7.75000E+00,7.03151E-05
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,8.25000E+00,1.52142E-04
SA(3.53),2.15830E-01,2.00000E-02,Subduction Interface,8.75000E+00,3.38195E-04
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,4.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,5.25000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,5.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,6.25000E+00,1.35114E-08
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,6.75000E+00,4.04046E-07
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,7.25000E+00,6.31312E-08
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,7.75000E+00,5.26251E-08
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,8.25000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,Subduction IntraSlab,8.75000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,4.75000E+00,7.11173E-10
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,5.25000E+00,1.60733E-07
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,5.75000E+00,2.65827E-04
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,6.25000E+00,2.18961E-02
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,6.75000E+00,3.28732E-02
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,7.25000E+00,4.45178E-02
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,7.75000E+00,8.29652E-04
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,8.25000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Active Shallow Crust,8.75000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,4.75000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,5.25000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,5.75000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,6.25000E+00,1.79165E-08
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,6.75000E+00,7.54101E-07
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,7.25000E+00,1.02548E-04
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,7.75000E+00,1.43855E-03
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,8.25000E+00,1.98201E-03
SA(3.53),1.05040E-01,1.00000E-01,Subduction Interface,8.75000E+00,3.17935E-03
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,4.75000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,5.25000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,5.75000E+00,9.65554E-10
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,6.25000E+00,1.67801E-06
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,6.75000E+00,2.39902E-05
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,7.25000E+00,6.03597E-06
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,7.75000E+00,2.24745E-06
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,8.25000E+00,0.00000E+00
SA(3.53),1.05040E-01,1.00000E-01,Subduction IntraSlab,8.75000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,4.75000E+00,2.36186E-08
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,5.25000E+00,2.32798E-06
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,5.75000E+00,1.58417E-03
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,6.25000E+00,5.58055E-02
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,6.75000E+00,6.59847E-02
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,7.25000E+00,8.29399E-02
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,7.75000E+00,1.80257E-03
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,8.25000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Active Shallow Crust,8.75000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,4.75000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,5.25000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,5.75000E+00,1.39967E-11
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,6.25000E+00,3.21407E-07
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,6.75000E+00,9.01262E-06
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,7.25000E+00,6.70111E-04
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,7.75000E+00,5.60708E-03
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,8.25000E+00,6.01976E-03
SA(3.53),7.05592E-02,2.00000E-01,Subduction Interface,8.75000E+00,8.19118E-03
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,4.75000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,5.25000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,5.75000E+00,2.63749E-08
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,6.25000E+00,1.64126E-05
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,6.75000E+00,1.58589E-04
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,7.25000E+00,5.13146E-05
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,7.75000E+00,1.21101E-05
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,8.25000E+00,0.00000E+00
SA(3.53),7.05592E-02,2.00000E-01,Subduction IntraSlab,8.75000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,4.75000E+00,3.20316E-06
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,5.25000E+00,1.30574E-04
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,5.75000E+00,2.03848E-02
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,6.25000E+00,2.03857E-01
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,6.75000E+00,1.77285E-01
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,7.25000E+00,2.01059E-01
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,7.75000E+00,4.36710E-03
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,8.25000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Active Shallow Crust,8.75000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,4.75000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,5.25000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,5.75000E+00,3.08640E-08
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,6.25000E+00,2.51214E-05
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,6.75000E+00,3.68350E-04
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,7.25000E+00,1.01550E-02
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,7.75000E+00,3.69962E-02
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,8.25000E+00,2.62236E-02
SA(3.53),3.51266E-02,5.00000E-01,Subduction Interface,8.75000E+00,2.77644E-02
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,4.75000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,5.25000E+00,1.37306E-09
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,5.75000E+00,3.08295E-06
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,6.25000E+00,4.84559E-04
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,6.75000E+00,2.38204E-03
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,7.25000E+00,1.18675E-03
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,7.75000E+00,1.23829E-04
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,8.25000E+00,0.00000E+00
SA(3.53),3.51266E-02,5.00000E-01,Subduction IntraSlab,8.75000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,4.75000E+00,2.89053E-05
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,5.25000E+00,7.71360E-04
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,5.75000E+00,5.86767E-02
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,6.25000E+00,3.41083E-01
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,6.75000E+00,2.67668E-01
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,7.25000E+00,2.82454E-01
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,7.75000E+00,5.74754E-03
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,8.25000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,Active Shallow Crust,8.75000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,4.75000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,5.25000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,5.75000E+00,4.26264E-07
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,6.25000E+00,1.77887E-04
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,6.75000E+00,1.85836E-03
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,7.25000E+00,3.15151E-02
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,7.75000E+00,7.74625E-02
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,8.25000E+00,4.53789E-02
SA(3.53),2.44516E-02,6.87000E-01,Subduction Interface,8.75000E+00,4.31480E-02
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,4.75000E+00,1.54801E-10
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,5.25000E+00,3.34701E-08
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,5.75000E+00,2.59062E-05
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,6.25000E+00,2.09932E-03
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,6.75000E+00,7.34098E-03
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,7.25000E+00,4.53633E-03
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,7.75000E+00,3.10089E-04
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,8.25000E+00,0.00000E+00
SA(3.53),2.44516E-02,6.87000E-01,Subduction IntraSlab,8.75000E+00,0.00000E+00
